Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,47,32,29,15,3,24,5,19,47,94,64,2
2,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,1.5,4,4,3,1,0,3,0,3,1,5,0,0
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,13,8,4,4,5,3,1,2,2,15,0,0
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,20,17,10,9,1,22,2,20,8,28,29,0
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,7,3,5,2,0,5,5,0,4,11,20,0
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,2,1,1,1,0,1,0,1,3,5,3,0
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,23,15,8,14,1,11,6,5,18,41,25,2
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,40,32,29,10,1,29,15,14,40,80,141,1
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,10,8,1,7,2,8,1,7,1,11,11,0
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,35,32,15,18,2,22,5,17,19,54,20,0
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,51,32,26,22,3,42,21,21,88,139,255,1
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,8,6,2,6,0,8,1,7,16,24,10,2
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,9,5,2,5,2,2,0,2,9,18,11,2
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,1,0,1,0,0,1,0,1,0,1,11,2
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,17,15,11,4,2,19,3,16,25,42,52,1
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,38,24,26,12,0,42,26,16,65,103,221,1
17,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,13.6,35,26,24,5,6,16,3,13,23,58,37,0
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,1,1,1,0,0,0,0,0,0,1,8,1
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
20,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,18.6,54,35,35,14,5,31,6,25,41,95,90,0
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,2,1,2,0,0,1,0,1,0,2,15,1
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,11,8,2,6,3,6,0,6,3,14,18,0
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,3,3,0,3,0,1,0,1,1,4,1,0
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,6.8,4,3,1,2,1,4,0,4,0,4,6,0
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,50,33,31,17,2,13,7,6,41,91,66,0
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,0,0,0,0,0,0,0,2,0
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,9,6,2,6,1,12,1,11,6,15,3,0
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,91,50,37,41,13,25,3,22,37,128,90,0
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,26,20,12,12,2,13,1,12,24,50,25,0
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,70,34,32,37,1,29,7,22,75,145,58,1
