Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3
2,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,5.7
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,499,5.5
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,77,0.9
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,1726,19.2
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,38
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,31,20,1835,20.4
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,32.5
17,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,16,14,1220,13.6
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14
19,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,1,0,8,0.1
20,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,23,18,1674,18.6
21,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2152,23.9
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,1.8
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,17,5,611,6.8
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,21,20,1828,20.3
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,2,232,2.6
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,22,1963,21.8
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,31,27,2459,27.3
