Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,43,23,31,10,2,31,9,22,45,88,52,1
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,48,30,33,9,6,46,29,17,37,85,97,1
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,46,33,29,15,2,26,14,12,47,93,99,1
4,Suleiman Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,0,0,0,0,0,2,1,1,1,1,1,0
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,55,29,18,32,5,16,3,13,23,78,8,1
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,9,9,2,5,2,2,0,2,4,13,4,0
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,21,14,16,4,1,27,11,16,25,46,61,1
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,8,4,2,5,1,20,2,18,6,14,27,0
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,16,8,7,8,1,18,3,15,7,23,16,2
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,59,29,42,12,5,40,27,13,42,101,109,1
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,6,4,1,5,0,9,1,8,2,8,10,0
12,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,22,15,13,8,1,16,1,15,14,36,14,0
13,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,11,7,3,6,2,8,1,7,2,13,4,0
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,3,2,0,3,0,0,0,0,2,5,1,0
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,5,3,4,1,0,4,3,1,3,8,7,0
17,Amine Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,0,0,1,1,0,0
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,22,14,4,15,3,10,0,10,8,30,3,0
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,1,1,0,0,0,0,0,0,1,8,3
20,Aritz Aduriz,es ESP,FWMF,Athletic Club,es La Liga,38,1981,2.3,3,2,0,3,0,0,0,0,0,3,2,0
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,31,21,19,9,3,13,2,11,21,52,66,1
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,55,30,32,18,5,19,7,12,18,73,48,0
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,3,2,0,2,1,3,1,2,0,3,0,0
24,Kevin Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,2,1,0,1,1,1,0,1,1,3,0,0
25,Kevin Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,23,14,9,12,2,12,1,11,6,29,2,0
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,13,9,7,5,1,11,11,0,18,31,54,0
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,7,4,0,4,3,9,1,8,3,10,2,0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,36,22,19,15,2,6,2,4,11,47,21,0
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,1,1,0,1,0,2,2,0,1,2,6,0
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,16,12,2,11,3,6,1,5,15,31,10,0
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,43,27,30,11,2,31,14,17,45,88,124,3
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,45,24,23,18,4,24,6,18,41,86,61,0
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,11,8,6,4,1,6,1,5,4,15,10,1
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,29,22,14,8,7,14,1,13,18,47,33,0
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,0,0,1,0,0
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,15,10,2,10,3,11,0,11,2,17,20,0
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,38,21,23,14,1,20,11,9,30,68,61,2
38,Marley Aké,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,2,2,1,1,0,0,0,0,1,3,1,0
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,31,21,23,8,0,40,29,11,36,67,152,0
40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6,16,8,8,6,2,6,1,5,5,21,5,0
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,24,16,20,4,0,21,11,10,13,37,48,0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,30,17,14,15,1,19,10,9,29,59,40,0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,45,26,25,13,7,13,2,11,23,68,39,3
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,6,3,0,4,2,12,2,10,1,7,9,0
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,20,13,9,7,4,12,3,9,37,57,40,0
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,50,30,21,19,10,32,1,31,21,71,9,1
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,43,23,27,16,0,29,21,8,42,85,175,2
48,Marc Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,24,17,10,13,1,19,2,17,10,34,8,0
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,3,3,2,1,0,4,1,3,2,5,10,0
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2,2,0,2,0,4,1,3,2,4,3,0
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,45,26,17,23,5,12,3,9,45,90,13,1
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,61,30,37,20,4,46,15,31,15,76,41,0
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,40,29,24,13,3,48,32,16,31,71,172,2
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,36,16,25,9,2,33,10,23,34,70,59,1
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1,0,1,0,0,2,0,2,0,1,0,0
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1,1,1,0,1,0,1,0,2,0,0
57,Carles Aleñá,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,14,9,5,7,2,4,1,3,1,15,3,0
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,0,0,0,0,0,0,0,3,3
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,55,34,35,17,3,27,9,18,45,100,84,3
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,2,0
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,8,5,0,7,1,3,0,3,2,10,9,0
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,0,0,1,1,13,3
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,50,27,20,21,9,19,3,16,16,66,11,1
64,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,34,16,11,20,3,35,3,32,17,51,17,2
65,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,60,39,32,20,8,25,1,24,31,91,25,0
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,28,16,20,6,2,18,2,16,20,48,32,0
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,39,25,26,12,1,19,3,16,17,56,64,0
68,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,37,22,11,24,2,16,2,14,17,54,26,1
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,0,0,0,0,0,0,0,0,0,0,1,0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,36,19,28,7,1,33,22,11,62,98,138,2
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,17,11,12,5,0,30,21,9,25,42,150,2
72,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,33,19,20,11,2,18,3,15,14,47,13,0
73,Ibrahim Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,18,11,9,8,1,8,5,3,16,34,55,1
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,16,9,5,9,2,5,0,5,12,28,6,0
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,43,27,18,21,4,23,9,14,36,79,14,2
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,2,1,1,1,0,2,0,2,0,2,0,0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,55,29,31,19,5,27,6,21,56,111,97,0
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,7,5,2,2,3,3,0,3,3,10,3,0
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27,21,21,5,1,14,7,7,18,45,56,0
80,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,26,16,7,15,4,12,2,10,14,40,8,1
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5,4,3,2,0,3,1,2,1,6,3,0
82,Opoku Ampomah,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,5.6,9,4,3,4,2,3,0,3,4,13,5,0
