Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,15,12,3,0,0,0,0,3,0,0,0,0,12,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9
