Player,Nation,Squad,score
Patrick van Aanholt,NED,Crystal Palace,70.42
Rolando Aarons,ENG,Hellas Verona,15.42
Ignazio Abate,ITA,Milan,36.83
Aymen Abdennour,TUN,Marseille,14.79
Mehdi Abeid,ALG,Dijon,46.55
David Abraham,ARG,Eint Frankfurt,56.30
Tammy Abraham,ENG,Swansea City,47.83
Amir Abrashi,ALB,Freiburg,24.95
Francesco Acerbi,ITA,Sassuolo,100.00
Afriyie Acquah,GHA,Torino,28.97
Charlie Adam,SCO,Stoke City,13.29
Aday,ESP,Girona,40.93
Khaled Adénon,BEN,Amiens,80.71
Claud Adjapong,ITA,Sassuolo,21.43
Ali Adnan Kadhim,IRQ,Udinese,51.14
Aritz Aduriz,ESP,Athletic Club,47.02
Benik Afobe,COD,Bournemouth,17.12
Martin Agirregabiria,ESP,Alavés,57.09
Sergio Agüero,ARG,Manchester City,44.64
Ruben Aguilar,FRA,Montpellier,77.37
Matías Aguirregaray,URU,Las Palmas,39.32
Jean-Eudes Aholou,CIV,Strasbourg,64.93
Youssef Aït Bennasser,MAR,Caen,62.74
Arlind Ajeti,ALB,Crotone,38.45
Manuel Akanji,SUI,Dortmund,69.68
Nathan Aké,NED,Bournemouth,90.33
Chadrac Akolo,COD,Stuttgart,25.23
Kevin Akpoguma,NGA,Hoffenheim,41.94
David Alaba,AUT,Bayern Munich,74.62
Lucas Alario,ARG,Leverkusen,37.18
Jordi Alba,ESP,Barcelona,85.73
Raúl Albentosa,ESP,La Coruña,56.11
Luis Alberto,ESP,Lazio,78.81
Raúl Albiol,ESP,Napoli,69.09
Miiko Albornoz,CHI,Hannover 96,38.48
Marc Albrighton,ENG,Leicester City,44.17
Paco Alcácer,ESP,Barcelona,19.98
Pedro Alcalá,ESP,Girona,41.89
Thiago Alcántara,ESP,Bayern Munich,60.42
Toby Alderweireld,BEL,Tottenham,66.62
Álex Alegría,ESP,Levante,18.46
Iván Alejo,ESP,Eibar,34.49
Alexander,ARG,Leganés,34.92
Trent Alexander-Arnold,ENG,Liverpool,74.83
Alexis,ESP,Alavés,67.08
Allan,BRA,Napoli,68.94
Joe Allen,WAL,Stoke City,100.00
Dele Alli,ENG,Tottenham,43.51
Júnior Alonso,PAR,Lille,81.75
Marcos Alonso,ESP,Chelsea,58.14
Ricky Álvarez,ARG,Sampdoria,8.32
Yeray Álvarez,ESP,Athletic Club,63.44
Dani Alves,BRA,Paris S-G,65.38
Ibrahim Amadou,FRA,Lille,71.00
Morgan Amalfitano,FRA,Rennes,21.79
Romain Amalfitano,FRA,Dijon,66.34
Daniel Amartey,GHA,Leicester City,29.20
Jordi Amat,ESP,Betis,65.97
Amath,SEN,Getafe,56.73
Jordan Amavi,FRA,Marseille,52.84
Kelvin Amian,FRA,Toulouse,79.40
Nadiem Amiri,GER,Hoffenheim,42.56
Nordin Amrabat,MAR,Leganés,53.12
Joachim Andersen,DEN,Sampdoria,53.91
Felipe Anderson,BRA,Lazio,60.66
Florin Andone,ROU,La Coruña,50.42
Benjamin André,FRA,Rennes,83.36
Marco Andreolli,ITA,Cagliari,57.46
Yoann Andreu,FRA,Angers,64.19
Miguel Ángel Guerrero,ESP,Leganés,36.55
José Ángel,ESP,Eibar,71.84
Gabriele Angella,ITA,Udinese,27.82
Cristian Ansaldi,ARG,Torino,48.60
Luca Antei,ITA,Benevento,19.23
Mirco Antenucci,ITA,SPAL,72.84
Waldemar Anton,GER,Hannover 96,86.99
Michail Antonio,JAM,West Ham,56.12
Vitorino Antunes,POR,Getafe,75.58
Dennis Aogo,GER,Stuttgart,48.34
Houssem Aouar,FRA,Lyon,74.40
Alberto Aquilani,ITA,Las Palmas,45.81
Mauro Arambarri,URU,Getafe,80.90
Charles Aránguiz,CHI,Leverkusen,64.07
Luiz Araújo,BRA,Lille,36.02
Anaitz Arbilla,ESP,Eibar,76.16
Scott Arfield,CAN,Burnley,37.15
Samuel Armenteros,SWE,Benevento,12.91
Marko Arnautović,AUT,West Ham,60.46
Maximilian Arnold,GER,Wolfsburg,91.28
Jann-Fiete Arp,GER,Hamburger SV,31.09
Alejandro Arribas,ESP,La Coruña,8.79
Harry Arter,IRL,Bournemouth,28.74
Kwadwo Asamoah,GHA,Juventus,52.10
Takuma Asano,JPN,Stuttgart,22.16
Santiago Ascacíbar,ARG,Stuttgart,76.71
Marco Asensio,ESP,Real Madrid,47.88
Iago Aspas,ESP,Celta Vigo,83.14
Benoît Assou-Ekotto,CMR,Metz,30.97
Davide Astori,ITA,Fiorentina,70.52
Christian Atsu,GHA,Newcastle Utd,44.30
Pierre-Emerick Aubameyang,GAB,Arsenal,55.96
Pierre-Emerick Aubameyang,GAB,Dortmund,44.24
Jean-Kévin Augustin,FRA,RB Leipzig,29.88
Ludwig Augustinsson,SWE,Werder Bremen,69.00
Serge Aurier,CIV,Tottenham,44.32
Charlie Austin,ENG,Southampton,27.04
Danilo Avelar,BRA,Amiens,56.35
Felipe Avenatti,URU,Bologna,13.87
Durel Avounou,CGO,Caen,19.35
Chidozie Awaziem,NGA,Nantes,45.27
André Ayew,GHA,West Ham,25.23
André Ayew,GHA,Swansea City,27.11
Jordan Ayew,GHA,Swansea City,81.28
Karim Azamoum,FRA,Troyes,42.95
César Azpilicueta,ESP,Chelsea,83.72
Ludovic Baal,GUF,Rennes,35.59
Khouma Babacar,SEN,Fiorentina,13.14
Khouma Babacar,SEN,Sassuolo,31.36
Carlos Bacca,COL,Villarreal,36.72
Milan Badelj,CRO,Fiorentina,61.63
Holger Badstuber,GER,Stuttgart,43.30
Farès Bahlouli,FRA,Lille,8.74
Stéphane Bahoken,CMR,Strasbourg,50.40
Daniel Baier,GER,Augsburg,83.00
Leon Bailey,JAM,Leverkusen,58.00
Eric Bailly,CIV,Manchester Utd,24.09
Leighton Baines,ENG,Everton,29.31
Marvin Bakalorz,GER,Hannover 96,54.85
Cédric Bakambu,COD,Villarreal,35.51
Tiemoué Bakayoko,FRA,Chelsea,59.60
Zakaria Bakkali,BEL,La Coruña,28.83
Keita Baldé,SEN,Monaco,34.63
Gareth Bale,WAL,Real Madrid,38.33
Mikel Balenziaga,ESP,Athletic Club,40.27
Andrija Balić,CRO,Udinese,33.43
Iván Balliu,ALB,Metz,57.54
Fodé Ballo-Touré,SEN,Lille,52.59
Florent Balmont,FRA,Dijon,22.99
Leon Balogun,NGA,Mainz 05,39.02
Mario Balotelli,ITA,Nice,43.46
Abdoulaye Bamba,CIV,Angers,39.70
Jonathan Bamba,FRA,Saint-Étienne,75.48
Yacine Bammou,MAR,Nantes,21.57
Éver Banega,ARG,Sevilla,76.88
Mattia Bani,ITA,Chievo,61.76
Léo Baptistão,BRA,Espanyol,55.94
Antonín Barák,CZE,Udinese,46.38
Andrea Barberis,ITA,Crotone,92.19
Enis Bardhi,MKD,Levante,59.85
Phil Bardsley,SCO,Burnley,35.44
Nicolò Barella,ITA,Cagliari,96.92
Philipp Bargfrede,GER,Werder Bremen,38.23
Aymen Barkok,MAR,Eint Frankfurt,21.71
Ashley Barnes,ENG,Burnley,44.22
Antonio Barragán,ESP,Betis,41.38
Antonio Barreca,ITA,Torino,14.46
Édgar Barreto,PAR,Sampdoria,42.10
Musa Barrow,GAM,Atalanta,16.27
Gareth Barry,ENG,West Brom,58.08
Fin Bartels,GER,Werder Bremen,23.17
Marc Bartra,ESP,Betis,66.65
Marc Bartra,ESP,Dortmund,27.78
Andrea Barzagli,ITA,Juventus,48.74
Daniele Baselli,ITA,Torino,50.12
Nicolas Basin,FRA,Metz,9.15
Dušan Basta,SRB,Lazio,23.14
Gil Bastião Dias,POR,Fiorentina,35.73
Samuel Bastien,COD,Chievo,41.78
Borja Bastón,ESP,Málaga,29.45
Bastos,ANG,Lazio,33.59
Michy Batshuayi,BEL,Chelsea,9.66
Michy Batshuayi,BEL,Dortmund,26.11
Moritz Bauer,AUT,Stoke City,40.48
Robert Bauer,GER,Werder Bremen,31.02
Timo Baumgartl,GER,Stuttgart,68.46
Julian Baumgartlinger,AUT,Leverkusen,48.54
Paul Baysse,FRA,Málaga,38.37
Paul Baysse,FRA,Bordeaux,48.41
Hervé Bazile,HAI,Caen,25.69
Riechedly Bazoer,NED,Wolfsburg,19.41
Enrico Bearzotti,ITA,Hellas Verona,12.59
Claudio Beauvue,GLP,Leganés,53.99
Bebé,CPV,Eibar,11.65
Ihlas Bebou,TOG,Hannover 96,50.23
Andreas Beck,GER,Stuttgart,58.96
Jan Bednarek,POL,Southampton,63.96
Valon Behrami,SUI,Udinese,41.77
Ishak Belfodil,ALG,Werder Bremen,42.23
Stefan Bell,GER,Mainz 05,71.88
Karim Bellarabi,GER,Leverkusen,32.41
Héctor Bellerín,ESP,Arsenal,56.87
François Bellugou,FRA,Troyes,71.59
Andrea Belotti,ITA,Torino,76.53
Chaouki Ben Saada,TUN,Troyes,11.51
Wissam Ben Yedder,FRA,Sevilla,62.50
Ahmad Benali,LBY,Crotone,32.05
Marco Benassi,ITA,Fiorentina,60.14
Medhi Benatia,MAR,Juventus,36.59
