Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Alavés,es La Liga,30,38,40,389,134,34.4,10.24,3.53,0.1,0.29,19.3,22,1,3,38.5,36.1,0.1,+1.5,+2.9
2,Amiens,fr Ligue 1,30,38,36,356,95,26.7,9.37,2.5,0.09,0.35,19.8,14,3,4,32.8,29.8,0.08,+3.2,+3.2
3,Angers,fr Ligue 1,27,38,41,458,151,33,12.05,3.97,0.08,0.25,18.8,21,4,4,47.6,44.5,0.1,-6.6,-7.5
4,Arsenal,eng Premier League,30,38,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,+4.7,+4.7
5,Atalanta,it Serie A,25,38,57,570,192,33.7,15,5.05,0.09,0.27,16.9,15,5,9,64.1,57.2,0.1,-7.1,-5.2
6,Athletic Club,es La Liga,26,38,39,421,142,33.7,11.08,3.74,0.08,0.23,16.7,13,6,8,49.7,43.8,0.11,-10.7,-10.8
7,Atlético Madrid,es La Liga,26,38,57,401,147,36.7,10.55,3.87,0.13,0.36,18.5,15,4,5,50.2,46.3,0.12,+6.8,+6.7
8,Augsburg,de Bundesliga,27,34,41,430,141,32.8,12.65,4.15,0.09,0.26,18.1,20,4,4,44.7,41.6,0.1,-3.7,-4.6
9,Barcelona,es La Liga,25,38,96,575,264,45.9,15.13,6.95,0.16,0.35,17,60,3,5,83.5,80.1,0.15,+12.5,+12.9
10,Bayern Munich,de Bundesliga,28,34,90,595,226,38,17.5,6.65,0.14,0.37,16.8,22,6,8,75.8,69.8,0.12,+14.2,+14.2
11,Benevento,it Serie A,41,38,32,470,145,30.9,12.37,3.82,0.06,0.21,19.8,23,2,3,38.3,36,0.08,-6.3,-6
12,Betis,es La Liga,29,38,56,415,160,38.6,10.92,4.21,0.13,0.34,19.5,22,2,3,46,43.7,0.11,+10.0,+10.3
13,Bologna,it Serie A,30,38,37,356,119,33.4,9.37,3.13,0.1,0.29,19.4,32,2,3,36.6,34.3,0.1,+0.4,+0.7
14,Bordeaux,fr Ligue 1,31,38,52,465,143,30.8,12.24,3.76,0.1,0.34,19.1,22,4,6,51,46.1,0.1,+1.0,+1.9
15,Bournemouth,eng Premier League,22,38,45,462,153,33.1,12.16,4.03,0.09,0.27,18.3,15,3,3,38.8,36.4,0.08,+6.2,+5.6
16,Brighton,eng Premier League,24,38,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37,31.8,0.09,-4,-3.8
17,Burnley,eng Premier League,24,38,35,378,126,33.3,9.95,3.32,0.09,0.28,17,16,0,0,32.3,32.3,0.09,+2.7,+2.7
18,Caen,fr Ligue 1,26,38,25,452,119,26.3,11.89,3.13,0.04,0.17,20.4,12,5,8,42.8,36.6,0.08,-17.8,-16.6
19,Cagliari,it Serie A,29,38,33,374,113,30.2,9.84,2.97,0.08,0.26,18.3,16,4,7,39.7,34.2,0.09,-6.7,-5.2
20,Celta Vigo,es La Liga,23,38,57,444,157,35.4,11.68,4.13,0.12,0.35,17.9,33,2,3,55,52.6,0.12,+2.0,+2.4
21,Chelsea,eng Premier League,26,38,60,603,210,34.8,15.87,5.53,0.09,0.27,17.9,20,3,3,54.4,52,0.09,+5.6,+5.0
22,Chievo,it Serie A,25,38,36,389,131,33.7,10.24,3.45,0.09,0.27,18.7,10,1,2,34.1,32.5,0.08,+1.9,+2.5
23,Crotone,it Serie A,29,38,38,378,129,34.1,9.95,3.39,0.1,0.28,20,12,2,3,34.6,32.2,0.09,+3.4,+3.8
24,Crystal Palace,eng Premier League,28,38,44,466,134,28.8,12.26,3.53,0.08,0.27,17.8,20,8,10,53.5,45.9,0.1,-9.5,-9.9
25,Dijon,fr Ligue 1,26,38,52,435,154,35.4,11.45,4.05,0.11,0.31,19.6,26,5,5,41.6,37.8,0.09,+10.4,+9.2
26,Dortmund,de Bundesliga,30,34,62,479,167,34.9,14.09,4.91,0.12,0.35,16.6,3,3,6,66,61.4,0.13,-4,-2.4
27,Eibar,es La Liga,27,38,43,467,131,28.1,12.29,3.45,0.09,0.31,18.6,23,2,3,40.9,38.6,0.08,+2.1,+2.4
28,Eint Frankfurt,de Bundesliga,28,34,44,388,145,37.4,11.41,4.26,0.11,0.29,17.3,11,2,2,42.2,40.9,0.11,+1.8,+1.1
29,Espanyol,es La Liga,25,38,33,410,128,31.2,10.79,3.37,0.08,0.24,18.7,17,2,3,41.1,38.6,0.1,-8.1,-7.6
30,Everton,eng Premier League,30,38,42,351,110,31.3,9.24,2.89,0.11,0.34,17.6,8,5,8,40.5,34.1,0.1,+1.5,+2.9
31,Fiorentina,it Serie A,27,38,53,611,179,29.3,16.08,4.71,0.08,0.26,19.3,20,7,8,54.5,48.3,0.08,-1.5,-2.3
32,Freiburg,de Bundesliga,29,34,32,374,110,29.4,11,3.24,0.07,0.24,19.6,17,6,10,39.6,31.7,0.09,-7.6,-5.7
33,Genoa,it Serie A,33,38,31,413,120,29.1,10.87,3.16,0.07,0.23,17.5,11,4,5,43.5,39.6,0.1,-12.5,-12.6
34,Getafe,es La Liga,32,38,41,361,122,33.8,9.5,3.21,0.1,0.3,19,16,5,12,48.2,38.6,0.11,-7.2,-2.6
35,Girona,es La Liga,25,38,50,447,149,33.3,11.76,3.92,0.1,0.3,19,27,6,8,50.6,44.4,0.1,-0.6,-0.4
36,Guingamp,fr Ligue 1,23,38,46,442,156,35.3,11.63,4.11,0.09,0.26,18.8,32,6,7,45.5,40.1,0.09,+0.5,-0.1
37,Hamburger SV,de Bundesliga,29,34,28,390,129,33.1,11.47,3.79,0.06,0.19,19,17,3,5,37.7,33.8,0.09,-9.7,-8.8
38,Hannover 96,de Bundesliga,26,34,44,430,140,32.6,12.65,4.12,0.09,0.29,18.4,17,4,5,44.6,40.6,0.1,-0.6,-0.6
39,Hellas Verona,it Serie A,32,38,30,354,89,25.1,9.32,2.34,0.06,0.26,20.5,19,7,7,33,27.7,0.08,-3,-4.7
40,Hertha BSC,de Bundesliga,25,34,43,315,128,40.6,9.26,3.76,0.12,0.3,17.8,13,4,5,39.2,35.3,0.12,+3.8,+3.7
41,Hoffenheim,de Bundesliga,26,34,64,470,172,36.6,13.82,5.06,0.13,0.35,18.1,13,4,5,50.5,46.6,0.1,+13.5,+13.4
42,Huddersfield,eng Premier League,25,38,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8
43,Inter,it Serie A,22,38,64,565,195,34.5,14.87,5.13,0.1,0.3,18,14,6,7,56.7,51.3,0.09,+7.3,+6.7
44,Juventus,it Serie A,24,38,82,546,198,36.3,14.37,5.21,0.14,0.39,18.9,41,4,8,55.3,49.3,0.09,+26.7,+28.7
45,Köln,de Bundesliga,31,34,33,385,111,28.8,11.32,3.26,0.08,0.27,18.5,18,3,3,43.2,41,0.11,-10.2,-11
46,La Coruña,es La Liga,32,38,38,462,133,28.8,12.16,3.5,0.08,0.26,18,14,3,5,51.6,47.7,0.1,-13.6,-12.7
47,Las Palmas,es La Liga,36,38,24,405,119,29.4,10.66,3.13,0.04,0.15,20.6,38,6,8,38.5,32.3,0.08,-14.5,-14.3
48,Lazio,it Serie A,24,38,86,542,199,36.7,14.26,5.24,0.14,0.39,18.4,16,9,11,63.7,55.2,0.1,+22.3,+21.8
49,Leganés,es La Liga,28,38,32,393,125,31.8,10.34,3.29,0.08,0.24,19.3,13,2,3,39.9,37.6,0.1,-7.9,-7.6
50,Leicester City,eng Premier League,27,38,53,417,137,32.9,10.97,3.61,0.12,0.35,17.6,11,5,6,50,45.3,0.11,+3.0,+2.7
51,Levante,es La Liga,33,38,43,405,119,29.4,10.66,3.13,0.09,0.32,19.4,26,5,5,44.7,40.8,0.1,-1.7,-2.8
52,Leverkusen,de Bundesliga,24,34,58,505,166,32.9,14.85,4.88,0.11,0.33,17.8,24,3,5,57.5,53.6,0.11,+0.5,+1.4
53,Lille,fr Ligue 1,25,38,41,429,139,32.4,11.29,3.66,0.09,0.28,20.7,22,2,2,36.4,34.8,0.08,+4.6,+4.2
54,Liverpool,eng Premier League,27,38,82,635,226,35.6,16.71,5.95,0.13,0.35,17.7,22,2,3,72.9,70.6,0.11,+9.1,+9.4
55,Lyon,fr Ligue 1,26,38,85,574,220,38.3,15.11,5.79,0.14,0.36,19,53,6,7,63.4,58.3,0.1,+21.6,+20.7
56,M'Gladbach,de Bundesliga,27,34,46,449,149,33.2,13.21,4.38,0.09,0.27,17.7,15,6,7,51.1,45.8,0.1,-5.1,-5.8
57,Mainz 05,de Bundesliga,27,34,38,411,143,34.8,12.09,4.21,0.08,0.24,20.9,17,4,4,35.4,32.3,0.08,+2.6,+1.7
58,Málaga,es La Liga,37,38,23,397,108,27.2,10.45,2.84,0.05,0.18,18.7,14,4,6,38.4,33.7,0.09,-15.4,-14.7
59,Manchester City,eng Premier League,25,38,103,656,254,38.7,17.26,6.68,0.15,0.38,17.8,30,6,8,78.6,72.7,0.11,+24.4,+24.3
60,Manchester Utd,eng Premier League,27,38,67,509,170,33.4,13.39,4.47,0.13,0.39,18.4,21,1,3,55.7,53.3,0.11,+11.3,+12.7
61,Marseille,fr Ligue 1,26,38,79,619,219,35.4,16.29,5.76,0.12,0.34,17.7,22,5,8,78.1,71.7,0.12,+0.9,+2.3
62,Metz,fr Ligue 1,36,38,33,426,156,36.6,11.21,4.11,0.07,0.19,19.9,16,3,4,40.3,37.2,0.09,-7.3,-7.2
63,Milan,it Serie A,23,38,54,606,214,35.3,15.95,5.63,0.08,0.23,19.6,24,4,6,51.2,46.6,0.08,+2.8,+3.4
64,Monaco,fr Ligue 1,32,38,83,483,169,35,12.71,4.45,0.16,0.45,17.9,34,7,8,62.3,56.1,0.12,+20.7,+19.9
65,Montpellier,fr Ligue 1,23,38,36,490,154,31.4,12.89,4.05,0.07,0.23,20.5,25,0,2,42.6,41,0.09,-6.6,-5
66,Nantes,fr Ligue 1,30,38,36,496,129,26,13.05,3.39,0.06,0.25,19.9,34,4,5,41.8,37.9,0.08,-5.8,-5.9
67,Napoli,it Serie A,23,38,73,648,245,37.8,17.05,6.45,0.1,0.27,19,20,6,8,67.1,60.7,0.1,+5.9,+6.3
68,Newcastle Utd,eng Premier League,27,38,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9
69,Nice,fr Ligue 1,31,38,52,475,170,35.8,12.5,4.47,0.09,0.26,19.9,33,8,10,49.2,41.7,0.09,+2.8,+2.3
70,Paris S-G,fr Ligue 1,28,38,100,615,238,38.7,16.18,6.26,0.15,0.39,17.4,36,7,9,86.1,79.3,0.13,+13.9,+13.7
71,RB Leipzig,de Bundesliga,23,34,57,484,172,35.5,14.24,5.06,0.11,0.31,18,24,4,5,51.9,48,0.1,+5.1,+5.0
72,Real Madrid,es La Liga,24,38,91,689,267,38.8,18.13,7.03,0.12,0.31,17.3,28,8,10,85.4,77.5,0.12,+5.6,+5.5
73,Real Sociedad,es La Liga,27,38,64,516,165,32,13.58,4.34,0.12,0.36,18.7,23,4,5,53.7,49.7,0.1,+10.3,+10.3
74,Rennes,fr Ligue 1,28,38,48,461,135,29.3,12.13,3.55,0.09,0.31,19.6,29,6,8,49.8,43.6,0.1,-1.8,-1.6
75,Roma,it Serie A,27,38,56,637,199,31.2,16.76,5.24,0.08,0.27,18.6,29,3,6,63.4,58.8,0.09,-7.4,-5.8
76,Saint-Étienne,fr Ligue 1,30,38,45,412,139,33.7,10.84,3.66,0.09,0.27,19.1,18,7,11,51,42.8,0.11,-6,-4.8
77,Sampdoria,it Serie A,27,38,56,474,163,34.4,12.47,4.29,0.1,0.3,18.8,26,7,8,53.5,47.2,0.1,+2.5,+1.8
78,Sassuolo,it Serie A,28,38,28,489,134,27.4,12.87,3.53,0.05,0.18,19.5,18,4,10,46.3,38.4,0.08,-18.3,-14.4
79,Schalke 04,de Bundesliga,24,34,50,396,153,38.6,11.65,4.5,0.1,0.26,18.4,14,10,10,46.7,38.9,0.1,+3.3,+1.1
80,Sevilla,es La Liga,31,38,48,511,174,34.1,13.45,4.58,0.09,0.25,17.7,18,4,5,59.5,55.7,0.11,-11.5,-11.7
81,Southampton,eng Premier League,26,38,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6
