Rk,Squad,Country,LgRk
1,Manchester City,eng ENG,1
2,Liverpool,eng ENG,2
3,Paris S-G,fr FRA,1
4,Juventus,it ITA,1
5,Bayern Munich,de GER,1
6,Barcelona,es ESP,1
7,Dortmund,de GER,2
8,Napoli,it ITA,2
9,Atlético Madrid,es ESP,2
10,Lille,fr FRA,2
11,RB Leipzig,de GER,3
12,Chelsea,eng ENG,3
13,Lyon,fr FRA,3
14,Tottenham,eng ENG,4
15,Arsenal,eng ENG,5
16,Atalanta,it ITA,3
17,Inter,it ITA,4
18,Milan,it ITA,5
19,Real Madrid,es ESP,3
20,Saint-Étienne,fr FRA,4
21,Roma,it ITA,6
22,Manchester Utd,eng ENG,6
23,Leverkusen,de GER,4
24,Torino,it ITA,7
25,M'Gladbach,de GER,5
26,Wolfsburg,de GER,6
27,Valencia,es ESP,4
28,Marseille,fr FRA,5
29,Eint Frankfurt,de GER,7
30,Werder Bremen,de GER,8
31,Sevilla,es ESP,6
32,Getafe,es ESP,5
33,Montpellier,fr FRA,6
34,Lazio,it ITA,8
35,Hoffenheim,de GER,9
36,Wolves,eng ENG,7
37,Nice,fr FRA,7
38,Reims,fr FRA,8
39,Everton,eng ENG,8
40,Sampdoria,it ITA,9
41,Nîmes,fr FRA,9
42,Espanyol,es ESP,7
43,Athletic Club,es ESP,8
44,Rennes,fr FRA,10
45,Leicester City,eng ENG,9
46,West Ham,eng ENG,10
47,Real Sociedad,es ESP,9
48,Watford,eng ENG,11
49,Betis,es ESP,10
50,Alavés,es ESP,11
51,Strasbourg,fr FRA,11
52,Crystal Palace,eng ENG,12
53,Düsseldorf,de GER,10
54,Nantes,fr FRA,12
55,Hertha BSC,de GER,11
56,Mainz 05,de GER,12
57,Eibar,es ESP,12
58,Angers,fr FRA,13
59,Newcastle Utd,eng ENG,13
60,Leganés,es ESP,13
61,Bournemouth,eng ENG,14
62,Villarreal,es ESP,14
63,Levante,es ESP,15
64,Bologna,it ITA,10
65,Sassuolo,it ITA,11
66,Udinese,it ITA,12
67,SPAL,it ITA,13
68,Fiorentina,it ITA,16
69,Bordeaux,fr FRA,14
70,Celta Vigo,es ESP,17
71,Cagliari,it ITA,15
72,Valladolid,es ESP,16
73,Parma,it ITA,14
74,Freiburg,de GER,13
75,Burnley,eng ENG,15
76,Southampton,eng ENG,16
77,Genoa,it ITA,17
78,Empoli,it ITA,18
79,Amiens,fr FRA,15
80,Toulouse,fr FRA,16
81,Girona,es ESP,18
82,Schalke 04,de GER,14
83,Monaco,fr FRA,17
84,Brighton,eng ENG,17
85,Augsburg,de GER,15
86,Dijon,fr FRA,18
87,Cardiff City,eng ENG,18
88,Huesca,es ESP,19
89,Caen,fr FRA,19
90,Rayo Vallecano,es ESP,20
91,Stuttgart,de GER,16
92,Guingamp,fr FRA,20
93,Fulham,eng ENG,19
94,Frosinone,it ITA,19
95,Hannover 96,de GER,17
96,Nürnberg,de GER,18
97,Chievo,it ITA,20
98,Huddersfield,eng ENG,20
