Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Alavés,es La Liga,26,26.7,42.7,38,418,3420,38,39,27,37,2,3,101,1,1.03,0.71,1.74,0.97,1.68,41.1,38.8,29,67.8,1.08,0.76,1.85,1.02,1.79
2,Amiens,fr Ligue 1,26,26.5,46.5,38,418,3420,38,30,22,28,2,3,59,6,0.79,0.58,1.37,0.74,1.32,35.4,33,23.4,56.4,0.93,0.62,1.55,0.87,1.48
3,Angers,fr Ligue 1,24,28,43.3,38,418,3420,38,42,27,37,5,10,49,4,1.11,0.71,1.82,0.97,1.68,50.7,42.8,33.5,76.4,1.33,0.88,2.22,1.13,2.01
4,Arsenal,eng Premier League,28,26.7,58.1,38,418,3420,38,69,52,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,60.1,56,46.7,102.7,1.58,1.23,2.81,1.47,2.7
5,Atalanta,it Serie A,27,26.5,57.3,38,418,3420,38,75,60,73,2,4,62,3,1.97,1.58,3.55,1.92,3.5,72.2,69,55.8,124.8,1.9,1.47,3.37,1.82,3.28
6,Athletic Club,es La Liga,27,27.6,50,38,418,3420,38,39,26,34,5,7,118,4,1.03,0.68,1.71,0.89,1.58,43.4,37.8,30.7,68.5,1.14,0.81,1.95,0.99,1.8
7,Atlético Madrid,es La Liga,29,26.4,49.2,38,418,3420,38,53,36,50,3,4,100,5,1.39,0.95,2.34,1.32,2.26,47.3,44.1,35.3,79.5,1.24,0.93,2.17,1.16,2.09
8,Augsburg,de Bundesliga,30,26.5,46.4,34,374,3060,34,50,33,45,5,5,55,1,1.47,0.97,2.44,1.32,2.29,45.3,41.8,32,73.9,1.33,0.94,2.28,1.23,2.17
9,Barcelona,es La Liga,30,27.7,64.4,38,418,3420,38,88,61,80,8,9,76,2,2.32,1.61,3.92,2.11,3.71,75.8,68.7,55.8,124.6,1.99,1.47,3.46,1.81,3.28
10,Bayern Munich,de Bundesliga,24,27.4,65.7,34,374,3060,34,86,62,83,3,4,42,2,2.53,1.82,4.35,2.44,4.26,85.6,82.4,66.1,148.5,2.52,1.94,4.46,2.42,4.37
