Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Alavés,es La Liga,30,38,499,292,263,181,55,197,565,34.9,368,341,90,251,427,926,766,8
2,Angers,fr Ligue 1,31,38,626,376,302,256,68,314,754,41.6,440,330,78,252,443,1069,654,1
3,Arminia,de Bundesliga,26,34,552,328,268,229,55,214,536,39.9,322,393,122,271,418,970,739,9
4,Arsenal,eng Premier League,29,38,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16
5,Aston Villa,eng Premier League,24,38,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17
6,Atalanta,it Serie A,30,38,606,343,252,256,98,265,591,44.8,326,421,92,329,516,1122,484,11
7,Athletic Club,es La Liga,27,38,462,269,194,200,68,168,516,32.6,348,341,74,267,344,806,684,9
8,Atlético Madrid,es La Liga,25,38,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7
9,Augsburg,de Bundesliga,25,34,509,308,251,211,47,201,503,40,302,395,116,279,454,963,852,8
10,Barcelona,es La Liga,25,38,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16
11,Bayern Munich,de Bundesliga,29,34,510,316,174,231,105,224,541,41.4,317,388,75,313,399,909,398,10
12,Benevento,it Serie A,29,38,511,288,278,179,54,243,646,37.6,403,382,123,259,383,894,746,13
13,Betis,es La Liga,25,38,556,315,274,221,61,211,556,37.9,345,362,74,288,453,1009,687,11
14,Bologna,it Serie A,37,38,542,313,273,186,83,209,538,38.8,329,452,147,305,424,966,740,21
15,Bordeaux,fr Ligue 1,28,38,567,329,294,212,61,253,623,40.6,370,383,123,260,503,1070,677,9
16,Brest,fr Ligue 1,26,38,610,355,321,236,53,284,633,44.9,349,358,109,249,463,1073,685,12
17,Brighton,eng Premier League,27,38,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8
18,Burnley,eng Premier League,25,38,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11
19,Cádiz,es La Liga,34,38,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8
20,Cagliari,it Serie A,32,38,589,336,296,229,64,269,647,41.6,378,421,130,291,388,977,777,6
21,Celta Vigo,es La Liga,30,38,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12
22,Chelsea,eng Premier League,27,38,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16
23,Crotone,it Serie A,31,38,540,311,288,196,56,225,556,40.5,331,406,137,269,380,920,748,12
24,Crystal Palace,eng Premier League,24,38,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13
25,Dijon,fr Ligue 1,33,38,601,367,329,225,47,278,661,42.1,383,351,112,239,471,1072,729,16
26,Dortmund,de Bundesliga,26,34,516,318,221,210,85,219,487,45,268,379,95,284,413,929,472,12
27,Eibar,es La Liga,30,38,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11
28,Eint Frankfurt,de Bundesliga,25,34,594,352,273,245,76,263,596,44.1,333,371,77,294,428,1022,594,10
29,Elche,es La Liga,30,38,551,336,324,189,38,210,577,36.4,367,357,97,260,386,937,689,10
30,Everton,eng Premier League,29,38,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19
31,Fiorentina,it Serie A,30,38,496,263,228,198,70,229,544,42.1,315,362,127,235,388,884,619,8
32,Freiburg,de Bundesliga,24,34,431,247,188,186,57,168,448,37.5,280,365,118,247,452,883,631,8
33,Fulham,eng Premier League,28,38,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13
34,Genoa,it Serie A,34,38,555,309,293,197,65,255,640,39.8,385,437,123,314,520,1075,785,12
35,Getafe,es La Liga,31,38,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4
36,Granada,es La Liga,34,38,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7
37,Hellas Verona,it Serie A,32,38,476,268,230,184,62,181,436,41.5,255,392,151,241,491,967,775,12
38,Hertha BSC,de Bundesliga,32,34,485,270,242,201,42,205,493,41.6,288,377,89,288,417,902,687,8
39,Hoffenheim,de Bundesliga,30,34,508,296,229,204,75,229,539,42.5,310,370,90,280,431,939,619,8
40,Huesca,es La Liga,27,38,556,321,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7
41,Inter,it Serie A,25,38,506,286,214,206,86,213,527,40.4,314,383,102,281,371,877,582,8
