Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Alavés,es La Liga,30,38,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265
2,Angers,fr Ligue 1,31,38,18822,16876,1907,551,30,135,662,824,168,68,78,1,14883,39,355
3,Arminia,de Bundesliga,26,34,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274
4,Arsenal,eng Premier League,29,38,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311
5,Aston Villa,eng Premier League,24,38,16996,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275
6,Atalanta,it Serie A,30,38,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395
7,Athletic Club,es La Liga,27,38,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377
8,Atlético Madrid,es La Liga,25,38,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302
9,Augsburg,de Bundesliga,25,34,14168,12411,1690,497,17,114,500,690,121,69,38,0,10257,67,337
10,Barcelona,es La Liga,25,38,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340
11,Bayern Munich,de Bundesliga,29,34,22039,20252,1713,477,23,160,828,727,237,108,86,0,18358,74,370
12,Benevento,it Serie A,29,38,15318,13338,1919,685,12,95,645,658,169,52,96,0,11573,61,296
13,Betis,es La Liga,25,38,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321
14,Bologna,it Serie A,37,38,18539,16629,1837,533,31,105,669,697,201,134,38,0,14683,73,346
15,Bordeaux,fr Ligue 1,28,38,19490,17533,1908,534,16,146,609,814,174,81,58,0,15862,49,318
16,Brest,fr Ligue 1,26,38,19407,17412,1936,489,19,147,720,859,181,98,40,0,15437,59,298
17,Brighton,eng Premier League,27,38,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313
18,Burnley,eng Premier League,25,38,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263
19,Cádiz,es La Liga,34,38,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282
20,Cagliari,it Serie A,32,38,16868,14915,1896,563,8,96,721,755,170,51,92,0,13040,57,345
21,Celta Vigo,es La Liga,30,38,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298
22,Chelsea,eng Premier League,27,38,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362
23,Crotone,it Serie A,31,38,17229,15358,1814,600,9,99,544,619,138,72,22,0,13532,57,329
24,Crystal Palace,eng Premier League,24,38,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351
25,Dijon,fr Ligue 1,33,38,17901,15908,1939,502,17,113,569,832,146,68,71,0,13949,54,314
26,Dortmund,de Bundesliga,26,34,22396,20771,1556,396,41,150,532,674,173,65,73,0,18812,69,316
27,Eibar,es La Liga,30,38,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325
28,Eint Frankfurt,de Bundesliga,25,34,18424,16631,1724,440,20,86,776,714,206,79,78,0,14241,69,321
29,Elche,es La Liga,30,38,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322
30,Everton,eng Premier League,29,38,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362
31,Fiorentina,it Serie A,30,38,17136,15159,1916,617,10,203,740,742,168,34,113,1,13430,61,332
32,Freiburg,de Bundesliga,24,34,15960,14251,1653,426,15,155,636,721,123,54,50,0,12177,56,338
33,Fulham,eng Premier League,28,38,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346
34,Genoa,it Serie A,34,38,17948,16092,1777,519,15,146,579,703,129,43,62,0,13954,79,331
35,Getafe,es La Liga,31,38,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322
36,Granada,es La Liga,34,38,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333
37,Hellas Verona,it Serie A,32,38,17797,15819,1870,573,11,103,732,726,185,64,107,0,13180,108,352
38,Hertha BSC,de Bundesliga,32,34,16169,14352,1740,460,16,155,585,751,152,59,61,1,12566,77,312
39,Hoffenheim,de Bundesliga,30,34,18046,16275,1722,509,15,151,658,745,156,52,60,1,14269,49,374
40,Huesca,es La Liga,27,38,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321
41,Inter,it Serie A,25,38,21624,19951,1608,450,29,152,702,651,206,64,85,0,18384,65,355
42,Juventus,it Serie A,30,38,23031,21302,1636,496,25,158,754,576,221,53,121,0,19839,93,326
43,Köln,de Bundesliga,28,34,15870,14088,1725,490,10,105,655,756,135,60,53,1,11954,57,331
44,Lazio,it Serie A,30,38,20795,19069,1639,468,25,151,744,653,189,97,63,1,16972,87,346
45,Leeds United,eng Premier League,23,38,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364
46,Leicester City,eng Premier League,27,38,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376
47,Lens,fr Ligue 1,27,38,18957,17084,1824,491,18,200,760,781,194,85,81,0,15078,49,332
48,Levante,es La Liga,29,38,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370
49,Leverkusen,de Bundesliga,30,34,21683,19980,1631,409,17,152,674,733,184,65,75,0,17887,72,361
50,Lille,fr Ligue 1,21,38,21892,20037,1791,466,31,173,637,841,184,87,84,5,17886,64,316
51,Liverpool,eng Premier League,28,38,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357
52,Lorient,fr Ligue 1,27,38,17085,15172,1867,480,21,110,606,800,176,62,89,1,13171,46,287
53,Lyon,fr Ligue 1,29,38,21396,19477,1856,479,36,135,710,814,232,54,88,2,17685,63,319
54,M'Gladbach,de Bundesliga,23,34,18955,17199,1674,473,29,107,561,676,177,66,94,0,15207,82,342
55,Mainz 05,de Bundesliga,31,34,13776,11989,1730,425,22,80,605,808,130,58,59,0,9531,57,339
56,Manchester City,eng Premier League,24,38,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320
57,Manchester Utd,eng Premier League,29,38,22626,20812,1738,433,34,211,640,760,197,83,87,4,18802,76,401
58,Marseille,fr Ligue 1,31,38,20532,18515,1965,572,17,182,647,840,174,95,66,2,16481,52,344
59,Metz,fr Ligue 1,27,38,16956,15135,1771,495,26,163,659,712,161,54,64,4,13167,50,292
60,Milan,it Serie A,29,38,19459,17686,1681,491,20,140,688,646,213,98,78,0,15889,92,309
61,Monaco,fr Ligue 1,30,38,21991,20044,1877,513,32,174,746,823,218,96,92,3,17738,70,300
62,Montpellier,fr Ligue 1,25,38,16620,14667,1905,477,12,194,807,817,184,68,95,4,12720,48,308
63,Nantes,fr Ligue 1,25,38,16543,14546,1943,569,19,114,678,846,178,106,65,1,12329,54,305
64,Napoli,it Serie A,25,38,22210,20306,1832,611,27,198,665,699,219,85,66,0,18892,72,345
65,Newcastle Utd,eng Premier League,27,38,14709,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321
66,Nice,fr Ligue 1,31,38,21589,19731,1818,500,16,169,599,759,168,91,45,0,18110,40,309
67,Nîmes,fr Ligue 1,33,38,16714,14592,2072,594,13,167,617,902,161,68,68,5,12696,50,291
68,Osasuna,es La Liga,28,38,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281
69,Paris S-G,fr Ligue 1,33,38,26137,24439,1633,456,55,106,695,666,218,104,44,3,22941,65,265
70,Parma,it Serie A,42,38,18427,16577,1772,542,15,188,643,654,154,52,68,1,14837,78,327
71,RB Leipzig,de Bundesliga,25,34,21450,19713,1656,472,19,99,649,761,185,90,68,0,17500,81,338
72,Real Madrid,es La Liga,30,38,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346
73,Real Sociedad,es La Liga,30,38,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369
