Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
1,Alavés,es La Liga,30,38,10216,14388,71,196775,86618,4463,5484,81.4,4016,5139,78.1,1482,2923,50.7,21,27.4,21,-6.4,256,789,189,82,691
2,Angers,fr Ligue 1,31,38,14883,18822,79.1,260278,99293,6976,7852,88.8,5985,7038,85,1531,2897,52.8,23,26.4,25,-3.4,294,1059,221,62,1050
3,Arminia,de Bundesliga,26,34,10582,14604,72.5,214163,88686,3914,4823,81.2,4806,5879,81.7,1610,3097,52,16,23.9,25.4,-7.9,229,795,172,50,691
4,Arsenal,eng Premier League,29,38,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,+2.9,332,1377,325,67,1162
5,Aston Villa,eng Premier League,24,38,12938,16996,76.1,235927,93013,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,+0.6,403,1086,323,76,1034
6,Atalanta,it Serie A,30,38,18066,22063,81.9,310229,109921,8542,9641,88.6,7388,8505,86.9,1686,2744,61.4,65,55.5,49.1,+9.5,487,1635,490,85,1594
7,Athletic Club,es La Liga,27,38,13578,17842,76.1,251138,91455,5873,6901,85.1,5483,6607,83,1792,3120,57.4,31,31.3,27.9,-0.3,303,1054,284,79,1048
8,Atlético Madrid,es La Liga,25,38,16757,20680,81,276506,95005,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,+13.4,347,1144,370,53,1189
9,Augsburg,de Bundesliga,25,34,10257,14168,72.4,193960,77976,4167,5063,82.3,4515,5469,82.6,1322,2716,48.7,23,25.9,22.9,-2.9,245,691,182,56,785
10,Barcelona,es La Liga,25,38,25192,28488,88.4,384110,119159,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,1501
11,Bayern Munich,de Bundesliga,29,34,18358,22039,83.3,327422,111390,7794,8735,89.2,7997,9011,88.7,1993,3021,66,75,55.2,69.4,+19.8,461,1578,464,113,1478
12,Benevento,it Serie A,29,38,11573,15318,75.6,210156,81278,4998,5811,86,4745,5735,82.7,1419,2776,51.1,26,27.6,24.7,-1.6,300,762,270,85,841
13,Betis,es La Liga,25,38,15814,19679,80.4,273398,94327,7403,8309,89.1,6096,7037,86.6,1672,3002,55.7,35,33.4,30.5,+1.6,334,1048,298,80,979
14,Bologna,it Serie A,37,38,14683,18539,79.2,256744,99247,6690,7649,87.5,5992,7098,84.4,1528,2648,57.7,38,39,29.3,-1,372,1193,262,60,1110
15,Bordeaux,fr Ligue 1,28,38,15862,19490,81.4,283184,102845,7065,7953,88.8,6665,7634,87.3,1694,2878,58.9,32,31.4,27.2,+0.6,319,978,186,57,932
16,Brest,fr Ligue 1,26,38,15437,19407,79.5,292474,108199,6267,7228,86.7,6798,7856,86.5,2034,3384,60.1,31,36,36.5,-5,337,1178,301,123,1034
17,Brighton,eng Premier League,27,38,15772,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,24,33.2,34.9,-9.2,358,1132,358,80,1072
18,Burnley,eng Premier League,25,38,10825,15562,69.6,196816,82195,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,20,27.7,26.9,-7.7,267,923,292,80,805
19,Cádiz,es La Liga,34,38,7949,12067,65.9,158876,72256,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,576
20,Cagliari,it Serie A,32,38,13040,16868,77.3,235900,89907,5808,6708,86.6,5346,6416,83.3,1542,2779,55.5,30,34,30.8,-4,317,967,276,91,882
21,Celta Vigo,es La Liga,30,38,15176,19318,78.6,263064,91351,6912,7946,87,6117,7188,85.1,1552,2914,53.3,39,36.7,32,+2.3,267,978,248,48,965
22,Chelsea,eng Premier League,27,38,21969,25799,85.2,360452,112419,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,38,41.5,37.1,-3.5,448,1441,377,70,1278
23,Crotone,it Serie A,31,38,13532,17229,78.5,245442,95259,5782,6594,87.7,6004,7014,85.6,1437,2695,53.3,27,23.9,22.1,+3.1,269,862,224,68,911
24,Crystal Palace,eng Premier League,24,38,11627,15597,74.5,193707,81286,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,29,23.6,23.4,+5.4,264,838,232,54,843
25,Dijon,fr Ligue 1,33,38,13949,17901,77.9,255850,97610,5993,6862,87.3,6025,7094,84.9,1638,3054,53.6,15,22.6,19.7,-7.6,253,936,185,56,939
26,Dortmund,de Bundesliga,26,34,18812,22396,84,330899,107348,8274,9247,89.5,8007,8942,89.5,1936,2917,66.4,57,51.2,52.4,+5.8,389,1374,401,45,1324
27,Eibar,es La Liga,30,38,11810,16890,69.9,234607,92605,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,873
28,Eint Frankfurt,de Bundesliga,25,34,14241,18424,77.3,253275,99438,6399,7455,85.8,6095,7255,84,1446,2758,52.4,52,44,46.8,+8.0,361,1143,301,103,1178
29,Elche,es La Liga,30,38,13481,17054,79,244074,94226,6028,6753,89.3,5307,6190,85.7,1652,3000,55.1,25,21.8,19.8,+3.2,190,784,148,79,618
30,Everton,eng Premier League,29,38,14792,18696,79.1,263228,93925,6563,7438,88.2,6125,7073,86.6,1580,2924,54,32,30.7,28.7,+1.3,300,944,257,60,868
