Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,64,44,49,15,0,39,19,20,28,92,96,1
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48,27,34,14,0,50,25,25,68,116,104,0
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43,23,25,16,2,18,1,17,42,85,15,0
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110,60,44,53,13,58,1,57,55,165,13,0
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,2,0,2,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11,7,4,5,2,12,1,11,4,15,8,0
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,2,0,2,0,0,1,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27,13,7,14,6,17,3,14,5,32,27,0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6,3,3,3,0,6,5,1,5,11,37,1
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25,12,15,9,1,37,28,9,34,59,92,0
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,2,0,0,1,1,3,0,3,0,2,1,0
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50,29,27,14,9,22,5,17,14,64,25,1
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13,6,5,5,3,18,2,16,8,21,18,0
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,23,7,5,16,2,24,1,23,16,39,19,2
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,8,6,3,4,1,4,0,4,1,9,2,0
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,15,11,5,8,2,0,0,0,11,26,6,0
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,27,14,10,14,3,26,2,24,11,38,12,0
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,43,27,22,14,7,33,3,30,37,80,11,2
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,14,5,5,8,1,4,1,3,6,20,3,0
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,10,3,1,6,3,4,0,4,3,13,0,0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,34,22,17,11,6,20,3,17,25,59,38,0
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,0,0,0,2,0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51,31,24,20,7,29,9,20,52,103,27,1
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,44,26,13,26,5,22,0,22,8,52,6,0
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27,18,16,11,0,24,14,10,24,51,127,1
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,1,0,0,1,0,0,0,0,1,0,0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78,53,39,32,7,19,4,15,44,122,57,0
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,0.7,1,0,1,0,0,0,0,0,0,1,0,0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,38,26,27,9,2,16,8,8,22,60,44,0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,16,9,4,9,3,8,1,7,19,35,7,0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39,26,28,10,1,23,13,10,38,77,96,3
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16,27,19,11,10,6,17,3,14,28,55,30,0
35,Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20,2001,20.3,64,36,46,15,3,24,2,22,22,86,39,1
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29,18,21,6,2,19,11,8,26,55,74,0
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,36,25,5,19,12,28,3,25,8,44,31,1
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,33,23,20,11,2,26,15,11,35,68,58,0
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,43,31,26,15,2,26,7,19,51,94,61,0
40,Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,0.9,0,0,0,0,0,0,0,0,1,1,0,0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,16,9,7,8,1,7,5,2,8,24,23,0
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,2,0,0,1,1,0,0,0,0,2,0,0
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,2,0,0,2,0,2,0,2,0,2,0,0
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,14,9,5,7,2,6,0,6,11,25,6,0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,17,10,7,9,1,4,2,2,2,19,6,0
46,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26,1995,17,33,19,16,11,6,32,2,30,20,53,29,2
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,23,13,15,6,2,26,15,11,22,45,70,1
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,7,4,3,4,0,4,0,4,1,8,4,0
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,31,20,17,10,4,19,7,12,30,61,31,0
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6,5,0,2,4,5,0,5,1,7,6,0
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,47,34,12,26,9,26,6,20,33,80,41,1
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,0,0,1,1,2,0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,29,17,8,11,10,32,4,28,13,42,7,0
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,26,15,20,5,1,24,15,9,21,47,126,1
55,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,31,19,16,9,6,15,3,12,14,45,20,0
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,9,3,2,4,3,7,0,7,6,15,1,0
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17,48,29,14,24,10,22,2,20,26,74,13,2
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,41,20,14,24,3,10,2,8,13,54,14,0
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,53,34,34,17,2,30,18,12,35,88,153,0
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,33,15,21,10,2,12,0,12,8,41,17,0
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,0,0,0,0,0,0,0,0,0,0,9,1
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,27,19,11,13,3,21,2,19,15,42,16,0
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,40,23,19,13,8,22,4,18,43,83,40,0
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,0,0,0,0,0,0,0,1,0
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,10,5,1,4,5,17,1,16,8,18,0,1
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,3,1,3,0,0,1,0,1,0,3,28,1
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,74,44,28,39,7,40,9,31,23,97,39,1
68,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,18,13,8,8,2,11,0,11,6,24,4,0
69,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7.3,14,8,10,3,1,22,5,17,6,20,16,0
70,Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25,1996,3.8,7,2,3,4,0,7,2,5,6,13,10,0
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,47,29,23,17,7,14,1,13,20,67,13,0
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,41,29,20,12,9,29,5,24,43,84,53,0
