Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0
Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,2,0,0.0,1.75,0.00,0.00,,9.5,0,0,0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,17,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3
Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0,2,0,0.0,0.32,0.00,0.00,,9.0,0,0,0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0
Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,10,2,20.0,3.47,0.69,0.00,0.00,16.1,0,0,0
Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1,16,5,31.3,0.64,0.20,0.06,0.20,21.7,1,0,0
Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0,0,0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,0,2,0,0.0,0.13,0.00,0.00,,21.6,0,0,0
Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.50,17.2,0,0,0
Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0,4,1,25.0,1.02,0.26,0.00,0.00,11.8,0,0,0
Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0
Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,1,32,15,46.9,1.27,0.60,0.03,0.07,21.2,4,0,0
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0,2,2,100.0,0.41,0.41,0.00,0.00,22.7,0,0,0
Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,0,4,0,0.0,0.22,0.00,0.00,,19.1,0,0,0
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,0,0,0,,0.00,0.00,,,,0,0,0
Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0,15,1,6.7,0.72,0.05,0.00,0.00,11.9,0,0,0
Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,3,21,11,52.4,1.53,0.80,0.14,0.27,17.2,0,0,0
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2,25,7,28.0,0.82,0.23,0.08,0.29,9.4,0,0,0
Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,6,1,16.7,3.58,0.60,0.17,1.00,12.0,0,0,0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,0,10,2,20.0,0.42,0.08,0.00,0.00,22.8,0,0,0
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0
Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,0,8,4,50.0,0.53,0.27,0.00,0.00,16.0,0,0,0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,1,17,2,11.8,1.52,0.18,0.06,0.50,21.2,0,0,0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,0,6,1,16.7,0.20,0.03,0.00,0.00,13.3,0,0,0
Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,0,10,4,40.0,0.63,0.25,0.00,0.00,23.6,0,0,0
Rayan Aït Nouri,fr FRA,DFMF,Wolves,eng Premier League,20,2001,20.3,1,13,4,30.8,0.64,0.20,0.08,0.25,17.6,0,0,0
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1.00,8.8,0,0,0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,12,56,24,42.9,1.84,0.79,0.16,0.38,13.5,0,3,3
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1,13,3,23.1,0.52,0.12,0.08,0.33,11.2,1,0,0
Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,0,10,1,10.0,0.49,0.05,0.00,0.00,19.8,0,0,0
Marley Aké,fr FRA,FWMF,Juventus,it Serie A,20,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,2,5,2,40.0,0.49,0.20,0.40,1.00,7.3,0,0,0
Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0,4,2,50.0,2.90,1.45,0.00,0.00,19.0,0,0,0
Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,0,2,1,50.0,3.33,1.67,0.00,0.00,16.0,0,0,0
Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,0,2,0,0.0,0.35,0.00,0.00,,22.8,0,0,0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,0,3,0,0.0,0.86,0.00,0.00,,18.6,0,0,0
Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,de Bundesliga,26,1995,17.0,2,12,4,33.3,0.71,0.24,0.17,0.50,12.8,0,0,0
David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,2,21,7,33.3,0.72,0.24,0.10,0.29,21.8,7,0,0
Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,0,1,0,0.0,0.57,0.00,0.00,,27.4,0,0,0
Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,0,15,2,13.3,0.95,0.13,0.00,0.00,24.1,0,0,0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6,22,13,59.1,3.02,1.79,0.27,0.46,11.7,0,0,1
Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2,31,6,19.4,1.06,0.20,0.06,0.33,23.2,1,0,0
Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,1,0,0.0,4.09,0.00,0.00,,19.3,0,0,0
Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,5,47,16,34.0,1.80,0.61,0.11,0.31,21.0,2,0,0
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,0,5,1,20.0,0.18,0.04,0.00,0.00,7.5,0,0,0
Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31,1989,12.6,1,4,1,25.0,0.32,0.08,0.25,1.00,16.3,0,0,0
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,1,18,7,38.9,2.06,0.80,0.06,0.14,13.5,1,0,0
Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,1,25,6,24.0,1.47,0.35,0.04,0.17,19.3,0,0,0
Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,23.1,5,0,0
Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,2,18,5,27.8,0.67,0.19,0.11,0.40,16.7,0,0,0
Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.50,21.5,0,0,0
Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,0,0,0,,0.00,0.00,,,,0,0,0
Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,1,46,14,30.4,1.78,0.54,0.02,0.07,24.2,0,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2,51,15,29.4,1.61,0.47,0.04,0.13,24.0,8,0,0
Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0
Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,4,42,15,35.7,2.06,0.73,0.10,0.27,15.3,0,0,0
Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0
Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,0,7,3,42.9,0.29,0.12,0.00,0.00,24.5,0,0,0
Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,1,43,15,34.9,2.60,0.91,0.02,0.07,19.2,1,0,0
Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7.3,1,3,2,66.7,0.41,0.27,0.00,0.00,21.4,0,1,1
Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25,1996,3.8,0,3,0,0.0,0.80,0.00,0.00,,19.4,0,0,0
Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,4,43,10,23.3,1.79,0.42,0.09,0.40,18.7,9,0,0
Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,13.7,0,0,0
Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,0,1,0,0.0,8.18,0.00,0.00,,11.5,0,0,0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,0,7,0,0.0,0.34,0.00,0.00,,14.1,0,0,0
Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,1,5,2,40.0,0.41,0.16,0.20,0.50,31.4,0,0,0
Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,16.1,0,0,0
Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9.0,1,3,2,66.7,0.33,0.22,0.33,0.50,9.4,0,0,0
