Squad,Comp,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,es La Liga,550,324,271,221,58,262,637,41,375,373,106,267,376,926,890,7
Angers,fr Ligue 1,619,370,301,253,65,284,659,43,375,384,99,285,423,1042,631,9
Arminia,de Bundesliga,549,311,270,235,44,238,543,44,305,395,110,285,421,970,770,7
Arsenal,eng Premier League,540,311,261,195,84,244,500,49,256,386,123,263,296,836,658,20
Aston Villa,eng Premier League,634,382,300,259,75,300,649,46,349,453,140,313,340,974,693,13
Atalanta,it Serie A,630,341,252,271,107,299,635,47,336,436,96,340,441,1071,483,6
Athletic Club,es La Liga,508,292,217,216,75,224,582,39,358,411,128,283,339,847,788,8
Atlético Madrid,es La Liga,636,346,290,279,67,293,619,47,326,372,98,274,365,1001,649,14
Augsburg,de Bundesliga,560,335,254,235,71,249,584,43,335,397,116,281,363,923,770,12
Barcelona,es La Liga,587,331,236,270,81,244,493,50,249,346,85,261,325,912,467,17
Bayern Munich,de Bundesliga,563,338,231,237,95,259,559,46,300,338,68,270,349,912,404,18
Betis,es La Liga,662,392,322,261,79,324,695,47,371,386,112,274,361,1023,777,11
Bochum,de Bundesliga,586,353,300,212,74,283,585,48,302,429,121,308,430,1016,624,13
Bologna,it Serie A,530,298,261,202,67,216,528,41,312,384,127,257,371,901,678,5
Bordeaux,fr Ligue 1,642,377,320,244,78,323,741,44,418,357,104,253,454,1096,688,19
Brentford,eng Premier League,607,342,299,228,80,291,616,47,325,383,113,270,393,1000,863,7
Brest,fr Ligue 1,682,400,342,249,91,310,657,47,347,367,108,259,469,1151,707,4
Brighton,eng Premier League,668,403,306,257,105,243,563,43,320,480,150,330,358,1026,723,12
Burnley,eng Premier League,590,324,273,235,82,250,534,47,284,509,211,298,410,1000,887,18
Cádiz,es La Liga,647,380,346,238,63,301,711,42,410,390,106,284,413,1060,768,5
Cagliari,it Serie A,557,303,263,229,65,230,544,42,314,406,128,278,397,954,747,5
Celta Vigo,es La Liga,696,409,324,279,93,286,762,38,476,423,91,332,376,1072,634,11
Chelsea,eng Premier League,621,348,267,269,85,257,567,45,310,408,96,312,347,968,641,15
Clermont Foot,fr Ligue 1,622,361,285,262,75,291,665,44,374,372,99,273,386,1008,527,9
Crystal Palace,eng Premier League,636,373,322,236,78,273,575,48,302,452,135,317,333,969,761,5
Dortmund,de Bundesliga,541,322,232,236,73,255,550,46,295,351,82,269,347,888,519,11
Eint Frankfurt,de Bundesliga,595,330,260,252,83,283,673,42,390,435,95,340,377,972,592,12
Elche,es La Liga,589,325,335,191,63,268,622,43,354,367,126,241,305,894,769,14
Empoli,it Serie A,568,327,268,208,92,273,606,45,333,451,177,274,352,920,772,10
Espanyol,es La Liga,557,338,308,196,53,275,646,43,371,360,114,246,326,883,892,20
Everton,eng Premier League,705,402,369,252,84,336,735,46,399,496,140,356,365,1070,815,15
Fiorentina,it Serie A,508,301,232,203,73,268,540,50,272,357,91,266,244,752,407,15
Freiburg,de Bundesliga,518,299,246,207,65,215,477,45,262,352,130,222,355,873,751,13
Genoa,it Serie A,739,416,324,302,113,349,727,48,378,487,134,353,449,1188,751,15
Getafe,es La Liga,587,360,266,243,78,248,594,42,346,400,96,304,401,988,719,8
Granada,es La Liga,611,343,310,240,61,274,632,43,358,437,130,307,326,937,841,8
Greuther Fürth,de Bundesliga,568,336,258,252,58,270,567,48,297,416,124,292,374,942,712,8
Hellas Verona,it Serie A,534,308,248,214,72,238,557,43,319,414,107,307,392,926,779,9
Hertha BSC,de Bundesliga,546,321,294,197,55,252,544,46,292,377,105,272,406,952,816,15
Hoffenheim,de Bundesliga,482,290,191,216,75,224,485,46,261,390,88,302,285,767,520,17
Inter,it Serie A,588,332,265,240,83,247,545,45,298,360,110,250,332,920,485,11
Juventus,it Serie A,555,316,260,217,78,236,529,45,293,392,134,258,332,887,677,9
Köln,de Bundesliga,598,361,264,246,88,288,665,43,377,442,99,343,426,1024,628,10
Lazio,it Serie A,578,339,246,255,77,238,621,38,383,416,144,272,315,893,565,10
Leeds United,eng Premier League,786,436,395,298,93,408,886,46,478,473,143,330,395,1181,622,15
Leicester City,eng Premier League,690,384,336,270,84,306,720,43,414,469,146,323,367,1057,777,15
Lens,fr Ligue 1,591,359,273,243,75,268,604,44,336,360,99,261,455,1046,616,7
Levante,es La Liga,558,305,268,212,78,237,611,39,374,326,110,216,377,935,735,12
Leverkusen,de Bundesliga,484,281,235,199,50,225,494,46,269,350,101,249,360,844,620,12
Lille,fr Ligue 1,653,359,310,274,69,305,619,49,314,351,111,240,377,1030,672,6
Liverpool,eng Premier League,554,320,207,240,107,233,576,41,343,359,74,285,340,894,523,8
Lorient,fr Ligue 1,696,412,337,292,67,383,811,47,428,405,115,290,412,1108,776,9
Lyon,fr Ligue 1,632,367,264,270,98,279,614,45,335,385,91,294,396,1028,621,18
M'Gladbach,de Bundesliga,587,342,266,261,60,296,633,47,337,406,95,311,327,914,586,14
Mainz 05,de Bundesliga,579,305,291,220,68,282,595,47,313,404,94,310,439,1018,584,9
Mallorca,es La Liga,607,332,301,235,71,248,551,45,303,374,119,255,344,951,826,9
Manchester City,eng Premier League,498,284,183,214,101,227,509,45,282,267,55,212,279,777,403,7
Manchester Utd,eng Premier League,585,358,320,197,68,265,608,44,343,404,133,271,340,925,704,20
Marseille,fr Ligue 1,556,319,252,238,66,232,501,46,269,263,65,198,327,883,437,10
Metz,fr Ligue 1,711,442,395,275,41,300,649,46,349,452,139,313,507,1218,782,11
Milan,it Serie A,697,421,304,288,105,281,583,48,302,371,110,261,355,1052,477,12
Monaco,fr Ligue 1,745,435,292,368,85,324,700,46,376,378,103,275,424,1169,487,10
Montpellier,fr Ligue 1,625,380,340,210,75,309,723,43,414,363,134,229,356,981,675,13
Nantes,fr Ligue 1,685,405,331,262,92,353,773,46,420,419,136,283,415,1100,680,9
Napoli,it Serie A,550,327,246,227,77,268,617,43,349,371,108,263,296,846,510,8
Newcastle Utd,eng Premier League,658,382,333,266,59,304,641,47,337,421,162,259,360,1018,776,14
Nice,fr Ligue 1,610,369,291,253,66,314,590,53,276,392,119,273,441,1051,595,7
Norwich City,eng Premier League,614,368,322,242,50,297,714,42,417,450,180,270,381,995,860,14
Osasuna,es La Liga,577,331,270,236,71,251,598,42,347,340,115,225,368,945,758,5
Paris S-G,fr Ligue 1,608,360,229,277,102,291,600,49,309,329,106,223,303,911,437,14
Rayo Vallecano,es La Liga,621,359,320,237,64,280,688,41,408,410,95,315,365,986,686,9
