Squad,Comp,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1_3,PPA,CrsPA,Prog
Alavés,es La Liga,9676,14175,68.3,191044,85740,4158,5174,80.4,3774,4954,76.2,1524,3158,48.3,20,27.8,22.8,-7.8,260,835,199,84,709
Angers,fr Ligue 1,15307,18797,81.4,281097,99553,6193,7006,88.4,6960,7916,87.9,1724,2880,59.9,25,30.5,25.6,-5.5,277,1029,186,56,1003
Arminia,de Bundesliga,9382,13509,69.4,182066,82702,3765,4741,79.4,4032,5157,78.2,1304,2711,48.1,18,21.8,22.4,-3.8,247,763,195,55,704
Arsenal,eng Premier League,16176,19844,81.5,280868,91115,7325,8210,89.2,7187,8140,88.3,1326,2584,51.3,41,46.4,34.6,-5.4,437,1354,329,74,1080
Aston Villa,eng Premier League,12748,16499,77.3,220973,85417,5916,6803,87.0,5184,6136,84.5,1239,2571,48.2,42,37.9,30.0,4.1,356,1019,293,70,936
Atalanta,it Serie A,17108,21262,80.5,290904,103696,8272,9367,88.3,6741,7835,86.0,1583,2760,57.4,48,55.9,47.2,-7.9,479,1384,425,81,1351
Athletic Club,es La Liga,12947,17283,74.9,229196,91476,5845,6826,85.6,5198,6434,80.8,1437,2830,50.8,34,41.3,36.0,-7.3,351,1056,306,82,1140
Atlético Madrid,es La Liga,15076,19098,78.9,253140,88721,7378,8289,89.0,5269,6266,84.1,1640,3060,53.6,45,42.8,39.6,2.2,347,989,325,66,1048
Augsburg,de Bundesliga,9181,13036,70.4,181255,75935,3586,4450,80.6,3892,4935,78.9,1455,2827,51.5,26,26.7,25.8,-0.7,264,657,218,85,679
Barcelona,es La Liga,21489,25006,85.9,359280,114923,10207,11109,91.9,8433,9401,89.7,1949,2912,66.9,52,50.4,54.7,1.6,402,1698,390,99,1416
Bayern Munich,de Bundesliga,20087,23780,84.5,342875,124219,9343,10393,89.9,8473,9518,89.0,1747,2675,65.3,70,71.3,80.3,-1.3,516,1677,500,71,1707
Betis,es La Liga,15702,19444,80.8,273534,99419,7360,8284,88.8,6318,7309,86.4,1583,2873,55.1,45,42.3,35.1,2.7,395,1136,294,51,1100
Bochum,de Bundesliga,9827,13976,70.3,204552,86413,3526,4391,80.3,4255,5335,79.8,1803,3414,52.8,22,31.5,29.2,-9.5,283,786,185,70,739
Bologna,it Serie A,14442,18249,79.1,246735,94978,6960,7925,87.8,5408,6437,84.0,1536,2701,56.9,34,35.2,25.9,-1.2,343,1024,299,89,913
Bordeaux,fr Ligue 1,13552,17385,78.0,253745,96076,5738,6654,86.2,5627,6682,84.2,1815,3091,58.7,39,37.0,29.0,2.0,326,952,221,59,990
Brentford,eng Premier League,11676,16272,71.8,211867,85979,5201,6312,82.4,4797,6120,78.4,1357,2852,47.6,33,36.6,33.8,-3.6,311,942,262,81,896
Brest,fr Ligue 1,12685,16507,76.8,242125,96758,5324,6290,84.6,5127,6166,83.1,1852,3141,59.0,32,34.3,28.4,-2.3,305,1087,252,88,968
Brighton,eng Premier League,16410,20588,79.7,288849,95329,7195,8172,88.0,7129,8207,86.9,1580,2954,53.5,30,37.3,31.5,-7.3,356,1187,342,72,1064
Burnley,eng Premier League,9453,14107,67.0,178782,80196,4296,5327,80.6,3306,4472,73.9,1457,3216,45.3,26,34.1,28.0,-8.1,286,877,240,84,729
Cádiz,es La Liga,10136,14415,70.3,195586,77863,4254,5031,84.6,3979,5054,78.7,1552,3292,47.1,21,28.6,28.9,-7.6,277,829,233,120,735
Cagliari,it Serie A,11503,15761,73.0,221216,88891,4745,5714,83.0,4799,5957,80.6,1656,3147,52.6,26,32.4,27.6,-6.4,317,853,226,93,784
Celta Vigo,es La Liga,16007,20591,77.7,286771,95796,6936,7982,86.9,6579,7795,84.4,1837,3366,54.6,29,31.9,31.6,-2.9,286,1105,285,84,1013
Chelsea,eng Premier League,21190,24888,85.1,342325,113096,10628,11617,91.5,8318,9322,89.2,1524,2514,60.6,52,51.5,42.6,0.5,439,1614,437,66,1344
Clermont Foot,fr Ligue 1,15711,19558,80.3,268710,97038,7637,8643,88.4,5958,6972,85.5,1599,2806,57.0,25,35.6,33.1,-10.6,325,1066,263,102,1034
Crystal Palace,eng Premier League,14983,19081,78.5,265538,92511,6553,7495,87.4,6521,7610,85.7,1467,2871,51.1,31,36.7,30.2,-5.7,305,990,270,75,912
