Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,es La Liga,33.00,38.00,29.00,373.00,111.00,29.80,9.82,2.92,0.06,0.21,18.20,15.00,6.00,7.00,41.10,35.60,0.10,-12.10,-12.60
Angers,fr Ligue 1,30.00,38.00,41.00,384.00,123.00,32.00,10.11,3.24,0.08,0.26,18.20,18.00,9.00,9.00,49.60,42.60,0.12,-8.60,-10.60
Arminia,de Bundesliga,26.00,34.00,26.00,361.00,109.00,30.20,10.62,3.21,0.07,0.22,19.70,10.00,2.00,2.00,32.50,30.90,0.09,-6.50,-6.90
Arsenal,eng Premier League,27.00,38.00,60.00,581.00,186.00,32.00,15.29,4.89,0.09,0.30,17.80,22.00,5.00,8.00,67.30,62.30,0.11,-7.30,-7.30
Aston Villa,eng Premier League,31.00,38.00,50.00,461.00,159.00,34.50,12.13,4.18,0.10,0.30,17.60,20.00,3.00,3.00,47.90,45.90,0.10,2.10,1.10
Atalanta,it Serie A,32.00,38.00,62.00,598.00,167.00,27.90,15.74,4.39,0.10,0.34,16.50,16.00,5.00,6.00,71.20,66.90,0.12,-9.20,-9.90
Athletic Club,es La Liga,26.00,38.00,40.00,460.00,150.00,32.60,12.11,3.95,0.08,0.25,16.80,11.00,3.00,7.00,54.40,48.80,0.11,-14.40,-11.80
Atlético Madrid,es La Liga,26.00,38.00,63.00,458.00,152.00,33.20,12.05,4.00,0.13,0.39,17.50,8.00,4.00,5.00,58.60,55.30,0.12,4.40,3.70
Augsburg,de Bundesliga,26.00,34.00,39.00,362.00,117.00,32.30,10.65,3.44,0.09,0.29,17.80,11.00,5.00,5.00,40.70,36.80,0.10,-1.70,-2.80
Barcelona,es La Liga,38.00,38.00,68.00,511.00,177.00,34.60,13.45,4.66,0.12,0.35,17.10,15.00,6.00,7.00,67.70,62.20,0.12,0.30,-0.20
Bayern Munich,de Bundesliga,30.00,34.00,92.00,668.00,255.00,38.20,19.65,7.50,0.13,0.34,16.70,12.00,5.00,5.00,95.40,91.60,0.14,-3.40,-4.60
Betis,es La Liga,31.00,38.00,60.00,509.00,182.00,35.80,13.39,4.79,0.11,0.30,18.40,21.00,6.00,6.00,59.00,54.30,0.11,1.00,-0.30
Bochum,de Bundesliga,28.00,34.00,37.00,409.00,136.00,33.30,12.03,4.00,0.08,0.24,18.80,17.00,4.00,6.00,47.50,42.80,0.11,-10.50,-9.80
Bologna,it Serie A,36.00,38.00,43.00,434.00,143.00,32.90,11.42,3.76,0.09,0.27,18.10,14.00,4.00,5.00,48.10,44.20,0.10,-5.10,-5.20
Bordeaux,fr Ligue 1,39.00,38.00,50.00,446.00,145.00,32.50,11.74,3.82,0.11,0.33,19.20,16.00,2.00,4.00,49.40,47.00,0.11,0.60,1.00
Brentford,eng Premier League,29.00,38.00,46.00,436.00,141.00,32.30,11.47,3.71,0.09,0.28,16.30,11.00,6.00,6.00,51.10,46.40,0.11,-5.10,-6.40
Brest,fr Ligue 1,25.00,38.00,48.00,394.00,138.00,35.00,10.37,3.63,0.10,0.30,17.40,12.00,7.00,8.00,48.90,42.90,0.11,-0.90,-1.90
Brighton,eng Premier League,26.00,38.00,40.00,482.00,141.00,29.30,12.68,3.71,0.07,0.26,17.70,15.00,4.00,7.00,53.00,47.50,0.10,-13.00,-11.50
Burnley,eng Premier League,23.00,38.00,32.00,405.00,119.00,29.40,10.66,3.13,0.08,0.26,17.20,14.00,1.00,2.00,43.80,42.80,0.11,-11.80,-11.80
Cádiz,es La Liga,33.00,38.00,35.00,405.00,118.00,29.10,10.66,3.11,0.08,0.27,17.90,14.00,3.00,6.00,45.10,40.30,0.10,-10.10,-8.30
Cagliari,it Serie A,33.00,38.00,34.00,420.00,117.00,27.90,11.05,3.08,0.07,0.26,17.30,17.00,3.00,4.00,42.90,40.20,0.10,-8.90,-9.20
Celta Vigo,es La Liga,25.00,38.00,43.00,405.00,135.00,33.30,10.66,3.55,0.10,0.30,18.30,14.00,3.00,6.00,46.70,41.90,0.11,-3.70,-1.90
Chelsea,eng Premier League,26.00,38.00,75.00,583.00,200.00,34.30,15.34,5.26,0.11,0.34,17.40,26.00,8.00,9.00,70.70,64.00,0.11,4.30,3.00
Clermont Foot,fr Ligue 1,28.00,38.00,36.00,435.00,134.00,30.80,11.45,3.53,0.08,0.25,17.70,10.00,2.00,3.00,49.30,46.90,0.11,-13.30,-12.90
Crystal Palace,eng Premier League,24.00,38.00,50.00,404.00,140.00,34.70,10.63,3.68,0.11,0.31,16.10,13.00,6.00,8.00,53.80,47.60,0.12,-3.80,-3.60
Dortmund,de Bundesliga,33.00,34.00,81.00,442.00,165.00,37.30,13.00,4.85,0.16,0.42,16.70,20.00,11.00,11.00,68.00,59.80,0.14,13.00,10.20
Eint Frankfurt,de Bundesliga,27.00,34.00,43.00,446.00,136.00,30.50,13.12,4.00,0.09,0.31,17.80,14.00,1.00,2.00,48.70,47.10,0.11,-5.70,-5.10
Elche,es La Liga,28.00,38.00,39.00,334.00,106.00,31.70,8.79,2.79,0.11,0.36,18.00,8.00,1.00,1.00,36.30,35.50,0.11,2.70,2.50
Empoli,it Serie A,28.00,38.00,47.00,490.00,151.00,30.80,12.89,3.97,0.08,0.26,18.50,16.00,7.00,7.00,49.40,44.40,0.09,-2.40,-4.40
Espanyol,es La Liga,34.00,38.00,39.00,403.00,128.00,31.80,10.61,3.37,0.08,0.27,19.50,24.00,5.00,5.00,40.40,36.50,0.09,-1.40,-2.50
Everton,eng Premier League,33.00,38.00,42.00,430.00,130.00,30.20,11.32,3.42,0.08,0.28,17.70,18.00,6.00,7.00,47.50,42.10,0.10,-5.50,-6.10
Fiorentina,it Serie A,28.00,38.00,59.00,501.00,172.00,34.30,13.18,4.53,0.10,0.29,17.20,25.00,9.00,12.00,65.60,56.40,0.12,-6.60,-6.40
Freiburg,de Bundesliga,26.00,34.00,55.00,457.00,153.00,33.50,13.44,4.50,0.11,0.33,16.70,20.00,5.00,6.00,55.00,50.30,0.11,0.00,-0.30
Genoa,it Serie A,40.00,38.00,26.00,397.00,106.00,26.70,10.45,2.79,0.05,0.19,18.80,12.00,6.00,7.00,41.90,36.50,0.09,-15.90,-16.50
Getafe,es La Liga,31.00,38.00,31.00,404.00,111.00,27.50,10.63,2.92,0.07,0.25,20.60,29.00,3.00,5.00,33.40,29.50,0.07,-2.40,-1.50
Granada,es La Liga,32.00,38.00,43.00,421.00,131.00,31.10,11.08,3.45,0.10,0.31,19.20,12.00,3.00,5.00,45.00,41.20,0.10,-2.00,-1.20
Greuther Fürth,de Bundesliga,29.00,34.00,26.00,309.00,96.00,31.10,9.09,2.82,0.07,0.22,18.20,13.00,5.00,5.00,33.70,29.90,0.10,-7.70,-8.90
Hellas Verona,it Serie A,31.00,38.00,63.00,455.00,152.00,33.40,11.97,4.00,0.12,0.37,16.90,15.00,7.00,8.00,57.60,51.30,0.11,5.40,4.70
Hertha BSC,de Bundesliga,36.00,34.00,35.00,365.00,119.00,32.60,10.74,3.50,0.09,0.27,17.50,15.00,3.00,3.00,37.20,34.90,0.10,-2.20,-2.90
Hoffenheim,de Bundesliga,32.00,34.00,55.00,452.00,150.00,33.20,13.29,4.41,0.12,0.37,15.10,13.00,0.00,0.00,62.90,62.90,0.14,-7.90,-7.90
Inter,it Serie A,27.00,38.00,83.00,667.00,239.00,35.80,17.55,6.29,0.11,0.32,15.90,13.00,7.00,11.00,88.40,80.50,0.12,-5.40,-4.50
Juventus,it Serie A,32.00,38.00,56.00,517.00,166.00,32.10,13.61,4.37,0.10,0.31,17.50,18.00,5.00,6.00,57.30,52.60,0.10,-1.30,-1.60
Köln,de Bundesliga,26.00,34.00,52.00,467.00,149.00,31.90,13.74,4.38,0.11,0.34,16.30,9.00,1.00,1.00,56.20,55.40,0.12,-4.20,-4.40
Lazio,it Serie A,27.00,38.00,74.00,445.00,185.00,41.60,11.71,4.87,0.15,0.36,17.40,14.00,7.00,9.00,60.20,53.20,0.12,13.80,13.80
Leeds United,eng Premier League,29.00,38.00,42.00,480.00,142.00,29.60,12.63,3.74,0.08,0.26,18.30,13.00,5.00,5.00,50.40,46.50,0.10,-8.40,-9.50
Leicester City,eng Premier League,28.00,38.00,62.00,433.00,164.00,37.90,11.39,4.32,0.14,0.37,17.80,14.00,2.00,2.00,52.10,50.60,0.12,9.90,9.40
Lens,fr Ligue 1,28.00,38.00,60.00,511.00,183.00,35.80,13.45,4.82,0.11,0.30,18.60,14.00,5.00,5.00,57.70,53.90,0.11,2.30,1.10
Levante,es La Liga,31.00,38.00,51.00,430.00,146.00,34.00,11.32,3.84,0.10,0.29,17.70,14.00,8.00,13.00,61.20,52.00,0.12,-10.20,-9.00
Leverkusen,de Bundesliga,29.00,34.00,76.00,453.00,184.00,40.60,13.32,5.41,0.16,0.40,16.40,11.00,2.00,6.00,68.50,63.70,0.14,7.50,10.30
Lille,fr Ligue 1,26.00,38.00,45.00,461.00,150.00,32.50,12.13,3.95,0.09,0.27,17.40,15.00,4.00,5.00,56.20,52.40,0.12,-11.20,-11.40
Liverpool,eng Premier League,27.00,38.00,94.00,721.00,237.00,32.90,18.97,6.24,0.12,0.37,16.70,13.00,7.00,8.00,95.10,89.30,0.13,-1.10,-2.30
Lorient,fr Ligue 1,29.00,38.00,35.00,442.00,146.00,33.00,11.63,3.84,0.07,0.22,19.30,32.00,3.00,3.00,47.90,45.60,0.11,-12.90,-13.60
Lyon,fr Ligue 1,30.00,38.00,64.00,546.00,192.00,35.20,14.37,5.05,0.10,0.29,17.10,18.00,8.00,8.00,76.30,70.10,0.13,-12.30,-14.10
M'Gladbach,de Bundesliga,26.00,34.00,54.00,489.00,174.00,35.60,14.38,5.12,0.10,0.28,17.10,14.00,5.00,7.00,63.70,58.10,0.12,-9.70,-9.10
Mainz 05,de Bundesliga,28.00,34.00,49.00,465.00,151.00,32.50,13.68,4.44,0.10,0.30,17.60,22.00,4.00,4.00,56.40,53.30,0.12,-7.40,-8.30
Mallorca,es La Liga,33.00,38.00,33.00,440.00,131.00,29.80,11.58,3.45,0.06,0.21,19.50,23.00,6.00,7.00,44.00,38.60,0.09,-11.00,-11.60
Manchester City,eng Premier League,26.00,38.00,96.00,704.00,237.00,33.70,18.53,6.24,0.13,0.38,16.30,17.00,7.00,9.00,96.60,89.30,0.13,-0.60,-0.30
Manchester Utd,eng Premier League,29.00,38.00,56.00,503.00,179.00,35.60,13.24,4.71,0.11,0.30,17.70,19.00,3.00,5.00,61.70,57.80,0.12,-5.70,-4.80
Marseille,fr Ligue 1,27.00,38.00,61.00,489.00,157.00,32.10,12.87,4.13,0.10,0.32,17.80,28.00,10.00,10.00,63.30,56.70,0.12,-2.30,-5.70
Metz,fr Ligue 1,36.00,38.00,33.00,370.00,112.00,30.30,9.74,2.95,0.09,0.29,20.50,16.00,1.00,1.00,34.10,33.30,0.09,-1.10,-1.30
Milan,it Serie A,28.00,38.00,66.00,592.00,187.00,31.60,15.58,4.92,0.10,0.33,18.40,23.00,5.00,8.00,68.20,62.60,0.11,-2.20,-1.60
